지역,매장명,현황,주소,매장서비스,전화번호
충북 음성군,국립소방병원점,영업중,충청북도 음성군 맹동면 용두4길 19 (국립소방병원) /두성리 1531,주차,042-882-0240
충북 음성군,(하)금왕휴게소점,영업중,충청북도 음성군 금왕읍 평택제천고속도로 70 .,주차,.
서울 강남구,역삼역점,영업중,"서울특별시 강남구 논현로 503 (역삼동, 송촌빌딩) 제1층 1호 .",,02-318-6381
대전 서구,대전호수공원점,영업중,"대전광역시 서구 도안동로 234-42 1,2층 도안동 2336",주차,070-8862-8826
경남 창원시 진해구,진해속천점,영업중,경상남도 창원시 진해구 태평로 132 2~3층,테라스/주차,070-7786-1019
세종 세종시,AK&세종점,영업중,세종특별자치시 한누리대로 411 KT&G 세종타워A,주차,044-960-5377
부산 사상구,부산백양대로DI점,영업중,부산광역시 사상구 백양대로 621 (괘법동) 2~4층,주차,051-324-7779
서울 강남구,파르나스몰점,영업중,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",주차,02-3453-1024
서울 동대문구,경희대 경영대점,영업중,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,주차,.
대구 달서구,대구장기점,영업중,대구광역시 달서구 장기로 268 1~2층,흡연시설/주차,053-522-0666
전북 군산시,군산수송점,영업중,"전라북도 군산시 수송북로 22. 수송동 831-1,1층",흡연시설/주차,063-467-9500
경기 성남시 분당구,분당파크타운점,영업중,"경기도 성남시 분당구 내정로 170 (수내동, 동신파크빌딩) .",주차,031-713-8570
서울 송파구,잠실새내역점,영업중,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩) .",테라스/흡연시설,02-416-2085
서울 강서구,등촌역점,영업중,서울특별시 강서구 등촌로 229 1~2층 /등촌동 507-1,테라스/주차,02-2655-2290
서울 송파구,잠실학원사거리점,영업중,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",주차,02-3431-4662
서울 중구,KG타워점,영업중,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 1층",주차,02-777-5559
경남 진주시,진주초전점,영업중,경상남도 진주시 초북로20번길 5 1층 /초전동 1710-7,주차,070-7801-1029
경기 수원시 영통구,수원영통점,영업중,경기도 수원시 영통구 청명남로 10 /영통동 1000-1,주차,031-202-3356
서울 강남구,강남역2점,영업중,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",테라스/주차,02-568-9056
경기 평택시,평택칠괴점,영업중,"경기도 평택시 칠괴길 84,1층 (101호, 104호) 칠괴동 492",주차,031-665-1770
경기 평택시,삼성전자평택캠퍼스점,영업중,경기도 평택시 삼성로 144 반도체공장 복지관 1층(고덕면 여염리 1648) .,,031-8094-9981
제주 제주시,제주연북로DI점,영업중,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),테라스/주차,070-4123-5111
충북 옥천군,충북옥천점,영업중,충청북도 옥천군 옥천읍 송신길 172 /서대리 13-1,주차,043-731-5560
대구 동구,대구봉무공원점,영업중,대구광역시 동구 단산길 4 (봉무동) 1~2층,주차,053-984-3001
경기 남양주시,다산진건점,영업중,경기도 남양주시 다산중앙로20번길 10-44 1층  .,주차,070-7808-1221
충북 청주시 흥덕구,청주NC백화점CGV점,영업중,"충북 청주시 흥덕구 2순환로 1233 (청주NC백화점, 8층) .",주차,070-4153-5598
경기 수원시 권선구,수원SKV1모터스점,영업중,"경기도 수원시 권선구 평동로79번길 45, 1층 135호 .",주차,031-293-8810
경기 남양주시,다산한강점,영업중,경기도 남양주시 다산지금로 163번길 9-12 1층,주차,031-592-3118
전북 전주시 덕진구,전주아중점,영업중,"전라북도 전주시 덕진구 아중로 193 1,2층",주차,063-246-2203
서울 마포구,홍대역점,영업중,서울특별시 마포구 어울마당로 111 2~4층,테라스/흡연시설,02-323-7791
서울 영등포구,FKI타워점,영업중,"서울특별시 영등포구 여의대로 24 (여의도동, 전국경제인연합회회관) 지하 1층 B109~111호",주차,02-786-3485
서울 종로구,종로5가점,영업중,서울특별시 종로구 동호로 401 .,,02-2266-1989
